id,listing_id,district,url,title,price_rub,area_m2,floor,total_floors,metro,address,description_snippet,source_page,scraped_at
1530,283229441,ЮВАО,https://www.cian.ru/rent/flat/283229441/?context=3.b_YSxt5XpSU.P3vMLD5Muk0mFlB_oDTqxS0tkiV9s3x-6gmDdYpP1GvzY7me2fyTjoMe-VDfKG6pZoMDbKynWk5mGw&mlSearchSessionGuid=542d404063ac164bd2ce3424a0b32bfe,1/5,133000,16.0,1,17,,"1/5 Студия, 16 м², 1/17 этаж Люблино 4 минуты на транспорте Москва , ЮВАО , р-н Марьино , м. Люблино , улица Верхние Поля , 42К1 33 000 ₽/мес. От года, комм. платежи включены (счётчики включены), без комиссии, залог 16 500 ₽ В действующем отели, на длительный срок, сдается студия гостиничного типа, без кухни ! В стоимость все включено, страховой депозит - 50%. Рассматривают 1-2 чел., РФ. В комнате минимум мебели - кровать, стол+ 2 стула, телевизор. Кондиционер. Санузел совмещенный, душ-кабина. Подробности по телефону. Агентство недвижимости Лунный Свет +7 923 078-87-... Написать два дня назад 14 апр, 12:32",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-04-16T11:16:50+00:00
1542,326294321,ЮВАО,https://www.cian.ru/rent/flat/326294321/?context=3.ch9buR8T-Nc.1ZRi2tZ-JLcZdLGAw-8k0x0te1ZKWLxTVaazJZBRgIb60EY8UNmOrq_i16tGeF4oGdlj34pkuod7oA&mlSearchSessionGuid=2050b27f536f378124da0d004ba19816,1/15,135000,11.6,2,10,,"1/15 Студия, 11,6 м², 2/10 этаж Только на Циан Юго-Восточная 8 минут пешком Москва , ЮВАО , р-н Выхино-Жулебино , м. Юго-Восточная , Ташкентская улица , 25К1 35 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 70%, залог 35 000 ₽ Сдается уютная студия площадью 11.6 кв. м. на длительный срок. До метро Юго-Восточная всего 8 минут пешком. В квартире есть все необходимое для комфортного проживания: косметический ремонт, необходимая мебель, холодильник, стиральная машина, микроволновая плита, электрическая поверхность, электрический чайник. Планировка включает совмещенный санузел с душевой кабиной. В вашем распоряжении также интернет, поэтому можно смело работать или учиться онлайн. Лоджия добавляет дополнительное пространство для хранения или отдыха. Дом находится в районе с развитой инфраструктурой. В шаговой доступности расположены школы, детские сады и клиники, поэтому все важные учреждения будут у вас под рукой. Для любителей шопинга и повседневных покупок поблизости есть магазины. Риелтор ID 116658281 +7 985 254-20-... Написать неделю назад 5 апр, 21:12",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=2,2026-04-16T11:16:50+00:00
1554,300381793,ЮВАО,https://www.cian.ru/rent/flat/300381793/?context=3.Ca81E8qyY4I.IlhJIPkexiA_WQp9xiPHRpu9VqwII41ECoKpx5lqAkzRxGRSsdZ718nOs0K4ScXqmTbrNOluZiRczw&mlSearchSessionGuid=2050b27f536f378124da0d004ba19816,1/6,135000,16.0,1,12,,"1/6 Студия, 16 м², 1/12 этаж Только на Циан Люблино 13 минут пешком Москва , ЮВАО , р-н Люблино , м. Люблино , Тихорецкий бульвар , 4К1 35 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 100%, залог 35 000 ₽ Залог делится на два месяца. Вашему вниманию предлагается уютная студия. Высокий первый этаж. В студии есть абсолютно все для комфортного проживания: Кухонный гарнитур, холодильник, стиральная машина, стол, 2 стула. Рядом с домом магазины, детские сады, школы. Спокойные соседи, Собственник адекватный. Сдается на длительный срок. Заехать можно сразу Звоните. Показ по договоренности. Риелтор ID 105044327 Документы проверены +7 989 146-61-... Написать пять дней назад 11 апр, 11:26",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=2,2026-04-16T11:16:50+00:00
1527,328958448,ЮВАО,https://www.cian.ru/rent/flat/328958448/?context=3.7G4l4pmUtHs.IbQiB3GxgeEIpV2zMZr2PAoiD26Pl5X7VZYQ0arpGYPs08oIi5t_Wz-KKxpfCQ9M94SZTGlIiz8EWA&mlSearchSessionGuid=542d404063ac164bd2ce3424a0b32bfe,1/20,138000,18.0,1,5,,"1/20 Апартаменты-студия, 18 м², 1/5 этаж Только на Циан Юго-Восточная 4 минуты на транспорте Москва , ЮВАО , р-н Выхино-Жулебино , м. Юго-Восточная , улица Чугунные Ворота , 7К1 38 000 ₽/мес. От года, комм. платежи включены (без счётчиков), без комиссии, залог 35 000 ₽ апартаменты! на цоколе жилого дома! НА СООБЩЕНИЯ НЕ ОТВЕЧАЮ! ЗВОНИТЕ ПОЖАЛУЙСТА! никто не жил, сдаются впервые. есть все необходимое для жизни. строго 1-2 человека без детей и животных. в апартаментах не курят. дизайнерский ремонт, где все пространство продумано до мелочей. фото полностью соответствует. мебель икея. просмотры по договоренности. Собственник ID 9695908 Документы проверены +7 986 248-18-... Написать вчера вчера, 22:27",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-04-16T11:16:50+00:00
1572,304833727,ЮВАО,https://www.cian.ru/rent/flat/304833727/?context=3.IInK3RYVAvE.gvY2Kd5hGTxWOKJ4zWgXYef0jRwwsk_T-IUvWRcBNlqmYZ-1CEeIw2xvnJVP7wwpiSQ6EvbV4FXJTg&mlSearchSessionGuid=af00dc7a6953958932d7d18a2a81a069,1/5,144000,23.0,7,16,,"1/5 Студия, 23 м², 7/16 этаж Только на Циан Люблино 16 минут пешком Москва , ЮВАО , р-н Люблино , м. Люблино , Цимлянская улица , 3к1 44 000 ₽/мес. На несколько месяцев, комм. платежи включены (без счётчиков), без комиссии, залог 50 000 ₽ Уютная студия со всей мебелью в развитом в плане инфраструктуры районе сдается одному человеку - гражданину РФ с добропорядочной репутацией и без долгов. Цена аренды указана без коммунальных расходов. Договор. На звонки отвечаю редко, пишите в мессенджерах. Собственник ID 107316047 Документы проверены Назначить просмотр месяц назад 4 мар, 13:08",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=3,2026-04-16T11:16:50+00:00
1584,292111720,ЮВАО,https://www.cian.ru/rent/flat/292111720/?context=3.WCKTgPmd5NY.wupfuOQr371eLzxjFwiEutjEjlJm9aDb5LNSNA1n0o4gNldBnxox8bugM01srjdU1eJ6JQU9IE02lg&mlSearchSessionGuid=af00dc7a6953958932d7d18a2a81a069,1/29,144000,14.0,2,4,,"1/29 Апартаменты-студия, 14 м², 2/4 этаж Только на Циан Нижегородская 7 минут пешком Москва , ЮВАО , р-н Нижегородский , м. Нижегородская , шоссе Фрезер , 17АС1 44 000 ₽/мес. На несколько месяцев, комм. платежи включены (без счётчиков), без комиссии, залог 40 000 ₽ Апартамент в новом комплексе. Есть вся необходимая мебель и техника. Кухня, фильтр для воды, стиральная машина с сушкой, холодильник, микроволновая печь, чайник, индукционная плита, диван-кровать, вместительный шкаф-купе, стол и стулья, душевая кабина, бойлер, утюг, гладильная доска. Закрытая территория, спальное место 194x100см Рядом бесплатная парковка, всегда есть места В шаговой доступности магазин Пятерочка, WB Рядом с метро Нижегородская расположен ТЦ Город, в том числе магазин Ашан Залог можно разбить на 2 части Здание без лифта Регистрация и прописка невозможна Возможность подключить проводной интернет отсутствует Под окном крыша здания, шума под окнами нет Вход с Северной стороны, ближайший дом для ориентира - Басовская улица 4 (4й подъезд) минимальный срок аренды 4 месяца. можно больше Агентам просьба не беспокоить Собственник ID 16682150 Документы проверены +7 985 730-03-... Написать два дня назад 14 апр, 11:25",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=3,2026-04-16T11:16:50+00:00
1566,328985601,ЮВАО,https://www.cian.ru/rent/flat/328985601/?context=3.3iaX-RNclfc.px_1uVi8ZLdc4lPM3lpyGYPgERYje1dQme2prL_xQYb4_l9BLOwGc3eUPPsRUYJtFKUCaTS3jIwyXA&mlSearchSessionGuid=2050b27f536f378124da0d004ba19816,1/10,148000,15.0,1,9,,"1/10 Студия, 15 м², 1/9 этаж Только на Циан Кожуховская 5 минут пешком Москва , ЮВАО , р-н Южнопортовый , м. Кожуховская , 5-я Кожуховская улица , 34К1 48 000 ₽/мес. От года, комм. платежи включены (без счётчиков), без комиссии, залог 63 000 ₽ БЕЗ КОМИССИИ, Я СОБСТВЕННИК. Студия. Свежий ремонт. Очень обжитой район со всей необходимой инфраструктурой, до метро Кожуховская 3 минуты пешком. Сдаю по договору строго для одного человека. Коммунальные услуги оплачиваются отдельно по счетчикам. Собственник ID 35549711 Документы проверены +7 916 220-78-... Написать вчера 14 апр, 22:37",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=2,2026-04-16T11:16:50+00:00
1581,328921172,ЮВАО,https://www.cian.ru/rent/flat/328921172/?context=3.v3LB0yCVEN4.F2M9XyxjWOQMdblDKFUMyoEzqumr385KceyXxsDpAQs2dx0swcr9R32KJ57Blbaf4nlx15WqYSlzag&mlSearchSessionGuid=af00dc7a6953958932d7d18a2a81a069,1/17,148000,20.0,4,20,,"1/17 Студия, 20 м², 4/20 этаж Депо 12 минут пешком Москва , ЮВАО , р-н Люблино , м. Депо , Люблинская улица , 72Ак1 48 000 ₽/мес. На несколько месяцев, комм. платежи включены (счётчики включены), без комиссии, залог 48 000 ₽ Предлагается аренда уютнoй кoмпактнoй квapтиpы-студии (20 кв.м.) в доме с paзвитoй инфpaструктурой в шагoвoй доcтупнocти от мeтрo. Квартира новая. До мeтpо 15 минут пeшком.Сoбcтвeнник, без комиcсии. Залог 48000(можно частями). Kваpтиpa cдаeтcя нa длительный срок. B пeшей дocтупности cупермapкeты (АШАН, Пятеpoчка и пp.),торговые и развлекательные центры. В квартире есть все для комфортного проживания: стиральная машинка, холодильник, телевизор (на фото отсутствует, но он есть с диагональю 50 ), варочная панель, микроволновка,чайник,кухонный блок и совмещенный с/у. Один диван. Вся мебель и техника абсолютно новые. На территории ЖК имеются все необходимые магазины, салоны красоты, кафе, аптеки, спортивные площадки. Условия заселения: - аренда 48000 руб./м за первый месяц месяц.; - залог 48000руб,возврат по завершению аренды - доп. оплачиваются ком. услуги (вода, эл/эн по счетчикам). Собственник ID 75433628 +7 986 274-35-... Написать вчера вчера, 13:04",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=3,2026-04-16T11:16:50+00:00
1550,329009950,ЮВАО,https://www.cian.ru/rent/flat/329009950/?context=3.6aJx37QhTBU.HWOiNjQyfJSFvstKQadebN03DLCT0MUNflpMlW8ne81tOno-Q5E9l_O6bo2kX_ofiH3gqjhW485D1Q&mlSearchSessionGuid=2050b27f536f378124da0d004ba19816,1/31,153000,19.7,20,22,,"1/31 Студия, 19,7 м², 20/22 этаж Только на Циан Текстильщики 20 минут пешком Москва , ЮВАО , р-н Текстильщики , м. Новохохловская , 1-й Грайвороновский проезд , 7Ак1 53 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 50%, без залога Долгoсpoчнaя аpенда (договoр нa 11 меcяцев). Предcтaвляeм вашeму внимaнию cтильную cтудию 19,7 кв.м. в ЖK Волжский паpк. Бытовая тeхникa: cтиpaльнaя мaшинa, xoлoдильник, вытяжка, варoчнaя панeль, тeлeвизор, электpический чайник, микрoволнoвая пeчь. Район oблaдаeт нaсыщенной и рaзвитoй инфраcтруктуpой: - в 15 минутax пешком oт метро Текстильщики - подземные и наземные паркинги, дворы-парки - поликлиники, магазины и фитнес-клубы. - в окружении находятся ТЦ Город, Леруа Мерлен, кинотеатр Олимпик Синема и стадион Москвич. Поблизости благоустроенные зелёные зоны: Волжский бульвар, большой Кузьминский лесопарк, пруд Садки и музей-усадьба Кусково. УСЛОВИЯ ПРОЖИВАНИЯ: не более 2-х чел - Комиссия 50% от арендного платежа; - Раннее бронирование объекта (за 3 дня до заселения); - Персональный менеджер на всех этапах аренды быстро реагирует на запросы - большинство бытовых вопросов решаем за 48 часов; - Страхование гражданской ответственности до 0,3 млн ₽; - Организация мелкого ремонта. Коммунальные платежи: электроэнергия, хвс\гвс, услуги интернет провайдера, расходы за отопление дома/квартиры оплачивает арендатор. Заселение только при наличии постоянной регистрации РФ. БЕЗ ЖИВОТНЫХ! Агентство недвижимости СМАРЕНТ Документы проверены +7 985 853-93-... Написать вчера вчера, 15:10",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=2,2026-04-16T11:16:50+00:00
1540,328869295,ЮВАО,https://www.cian.ru/rent/flat/328869295/?context=3.p5qQPPbPyg8.FdPvlrkvksR5SbDjlHEaOg9LxRWwJsaBLDvSLkGN_gBPrRzn2atgHziBWEz-cqhYZQt8jUFR2lKYFQ&mlSearchSessionGuid=542d404063ac164bd2ce3424a0b32bfe,1/10,160000,21.1,1,5,,"1/10 Апартаменты-студия, 21,1 м², 1/5 этаж Только на Циан Лефортово 10 минут пешком Москва , ЮВАО , р-н Лефортово , м. Лефортово , Ухтомская улица , 16К1 60 000 ₽/мес. От года, комм. платежи включены (без счётчиков), без комиссии, залог 60 000 ₽ Предлагаем уютные апартаменты по адресу: ул. Ухтомская, 16, к.1 21,1 м² Почему это идеальный вариант: Дизайнерский ремонт: Свежий, стильный интерьер — здесь приятно находиться. Полная комплектация: Заезжайте с одним чемоданом! Есть вся необходимая техника: стиральная машина, холодильник, СВЧ-печь, варочная панель. Готовность: Квартира полностью меблирована и готова к заселению прямо сейчас. Локация: Отличная транспортная доступность позволит вам легко добираться до любой точки города. Условия аренды: Цена: 60 000 руб./мес. + коммунальные платежи. Агентство недвижимости ONE OSNOVA Документы проверены +7 986 274-23-... Написать 2 часа назад сегодня, 11:25",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-04-16T11:16:50+00:00
