id,listing_id,district,url,title,price_rub,area_m2,floor,total_floors,metro,address,description_snippet,source_page,scraped_at,price_per_m2
387,328627739,ЮВАО,https://www.cian.ru/rent/flat/328627739/?context=4.USI-FFf5seQ.menTdvDNo7WuSWCXx8Z5aYlri0O9XHX6HbhAo8fJ6kQ-XcNEGU1VOxYE9MSkMtUnhT7MPypsZNFzVg&mlSearchSessionGuid=6e3ef361f7256264274875c475b2ee25,1/6,25000,19.0,3,21,,"1/6 Апартаменты-студия, 19 м², 3/21 этаж Только на Циан Калитники 11 минут пешком Москва , ЮВАО , р-н Нижегородский , м. Калитники , Автомобильный проезд , 4к5 25 000 ₽/мес. От года, комм. платежи включены (без счётчиков), без комиссии, залог 25 000 ₽ Сдаётся студия площадью 19 кв. м на третьем этаже современного 21-этажного дома. Высокие потолки 3.1 метра создают ощущение простора. Окна выходят во двор. Квартира сдаётся без ремонта и мебели. под склад,пред чистовая отделка(white-box) Дом оснащён двумя пассажирскими и одним грузовым лифтами, поэтому можно без проблем добраться до квартиры. Имеется подземная парковка для вашего автомобиля. . До ближайшей станции метро можно дойти за 10 минут, что удобно для поездок по городу. Условия аренды обсуждаются индивидуально. Возможна аренда по долгосрочному договору. Квартира сдаётся без комиссии. Звоните и записывайтесь на просмотр, чтобы лично оценить все преимущества этого предложения. Мы будем рады ответить на все ваши вопросы и показать квартиру в удобное для вас время. Есть еще апартамент в 6 корпусе на 11 этаже. Собственник ID 91147563 Документы проверены Назначить просмотр 3 недели назад 6 апр, 18:03",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=2,2026-05-05 11:58:44+00:00,1315.7894736842106
339,323840974,ЮВАО,https://www.cian.ru/rent/flat/323840974/?context=4.eAuoGOrimyY.6qkQrmZWvG3erWjRGeKBWIRn5aQW0SHVDpUhhXjB_X-Yp9n3lny0bJk1YbJmp39qQdmJrjjbjgP3ew&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/7,27000,17.0,1,16,,"1/7 Апартаменты-студия, 17 м², 1/16 этаж Только на Циан Текстильщики 14 минут пешком Москва , ЮВАО , р-н Текстильщики , м. Текстильщики , улица 8-я Текстильщиков , 13К2 27 000 ₽/мес. На несколько месяцев, комм. платежи включены (без счётчиков), без комиссии, без залога СОБСТВЕННИК! Читайте пожалуйста внимательно, полностью! Сдается студия 17м² в апартаментах в цоколе. Комната изолированна. Сдам исключительно адекватному, чистоплотному, спокойному, ответственному гp. PФ без вредных привычек арендатору!!! Регистрация и амино невозможна! Желательно одного человека! Приточно-вытяжная вентиляция. Без окна! Комната находится в районе с развитой инфраструктурой, в шаговой доступности от метро, БКЛ, МЦД-2. Ценик на длительный срок(год), если комнату снять на меньший срок, то цена увеличится. Если объявление опубликовано, значит актуально и еще сдается. Подойдёт как под жилое, так и не под жилое, мастерская, типография, офис, склад, упаковка, производство, ателье и т.д. ----- Примечание: у собственника могут быть дополнительные пожелания к жильцам - обсудите их в чате или по телефону Собственник ID 8531476 Документы проверены +7 916 936-41-... Написать четыре дня назад 30 апр, 17:46",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,1588.235294117647
342,329632275,ЮВАО,https://www.cian.ru/rent/flat/329632275/?context=4.z6spLkquNlY.057Mpf_mDyTQsVLYrtwv1-HFvo1E-1Vyq2i5mpdRHWvDgIehhD7pgPn1Fle7pahVwTbLgvE6QbeINQ&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/19,29000,16.0,1,5,,"1/19 Студия, 16 м², 1/5 этаж Люблино 4 минуты пешком Москва , ЮВАО , р-н Люблино , м. Люблино , Новороссийская улица , 7 29 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 80%, залог 13 500 ₽ От метро 3 минуты пешком. Уютная студия со всем необходимым (диван раскладывается, плита, чайник, СУС, холодильник, сма, свч) Можно со своей мебелью (место освободим). Предпочтение женщине. Счётчики фиксированная цена. Торг индивидуально. Депозит разделим на 2 месяца или перенесм на другой месяц. Можно с животным. Ключи на руках. ЗВОНИТЕ ИЛИ СРАЗУ ПИШИТЕ ВАШ НОМЕР ДЛЯ ОПЕРАТИВНОЙ СВЯЗИ. Риелтор ID 56970 +7 915 095-65-... Написать 11 часов назад сегодня, 03:09",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,1812.5
419,321121572,ЮВАО,https://www.cian.ru/rent/flat/321121572/?context=4.TM58ZPU3hmU.6R05OekSuzNaWTTiMFby2wZ_x_MFlkEttQ7RlvUIXnDv7m2R5Oj6wBAzWA1ONSwVcQFkgjutrSGI-Q&mlSearchSessionGuid=aa11016200a0fa5a2bb1b386063b79f8,1/5,30000,37.0,8,23,,"1/5 Апартаменты-студия, 37 м², 8/23 этаж Только на Циан Онлайн-договор Волгоградский проспект 3 минуты пешком Москва , ЮВАО , р-н Южнопортовый , м. Волгоградский проспект , Новоостаповская улица , 20 30 000 ₽/мес. На несколько месяцев, комм. платежи включены (счётчики включены), без комиссии, залог 10 000 ₽ без прописки. Сдается апартамент без ремонта, без отделки, с установленным унитазом, под ваши цели. 1 минута от метро Волгоградский проспект на 3-12 месяцев. Дополнительно оплачиваются счетчики. Собственник ID 21041836 Документы проверены +7 923 079-38-... Написать 2 недели назад 20 апр, 11:02",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=3,2026-05-05 11:58:44+00:00,810.8108108108108
381,329471282,ЮВАО,https://www.cian.ru/rent/flat/329471282/?context=4.dn82LXz36pg._K-QMaxz9N4wkPxSACdAH44GJPxYMOyI_n01JUt88C1QmfhXyObrnvENqLov0vZIWVUiqWjAE7o7zw&mlSearchSessionGuid=6e3ef361f7256264274875c475b2ee25,1/5,30000,17.6,4,4,,"1/5 Студия, 17,6 м², 4/4 этаж Кожуховская 9 минут пешком Москва , ЮВАО , р-н Печатники , м. Кожуховская , Южнопортовая улица , 26к2 30 000 ₽/мес. На несколько месяцев, комм. платежи включены (без счётчиков), без комиссии, без залога аренда квартиры от 1 месяца (под склад , хранение вещей на время ремонта итд) Собственник ID 104574949 Документы проверены +7 980 417-04-... Написать три дня назад 2 май, 12:07",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=2,2026-05-05 11:58:44+00:00,1704.5454545454545
343,328376795,ЮВАО,https://www.cian.ru/rent/flat/328376795/?context=4.K1y6Ihtobws.QzJWZr4l8NBiqtD29OsFw01ccCHOLbfeJOSzwGTbKCemAaKjEUD2NYm7nLG3Lz9SzCoBBxf0xtkM9w&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/11,32000,12.0,10,15,,"1/11 Студия, 12 м², 10/15 этаж Люблино 15 минут пешком Москва , ЮВАО , р-н Люблино , м. Люблино , Цимлянская улица , 3к3 32 000 ₽/мес. От года, комм. платежи включены (счётчики включены), комиссия 50%, залог 32 000 ₽ Показы 8 апреля СДАМ ДЛЯ ОДНОГО человека на длительный срок квартиру-студию с современным евроремонтом в новом ЖК бизнес-класса ""ВЛюблино"", район Люблино. Депозит возможно разбить на 2 части. Дом 15-этажный монолитный. Этаж 10/15, пластиковые окна, санузел совмещен. Диван двуспальный, микроволновая печь, холодильник, электро-плита, чайник, шкаф, стиральная машина (в коридоре). Инфраструктура развитая, все объекты первой необходимости расположены в пешей доступности: школа, детский сад, супермаркеты и др. Рядом парки. От станции метро Люблино - 9 минут пешком. Автобусные остановки возле дома. Оперативный показ: Москва, Цимлянская 3к3. Агентство недвижимости ЖИЛСЕРВИС Суперагент +7 915 496-36-... Написать 5 часов назад сегодня, 09:44",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,2666.6666666666665
351,328298801,ЮВАО,https://www.cian.ru/rent/flat/328298801/?context=4.vUDKIFTWb8Y.PztzjCyxo4TlWva9pnQz9Px2Y18L-Lu7BLXfmBX47ORJeU8fWbCamm1KyoWrtBUy1egC2oHWixf9Kw&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/13,34000,25.0,12,17,,"1/13 Студия, 25 м², 12/17 этаж Только на Циан Некрасовка 10 минут пешком Москва , ЮВАО , р-н Некрасовка , м. Некрасовка , улица Недорубова , 28 34 000 ₽/мес. От года, комм. платежи включены (счётчики включены), комиссия 60%, залог 34 000 ₽ Сдается на длительный период . Предложение строго для одной девушки , женщины.. Качественный рeмoнт, вся мебель и бытовая техника, нeoбходимая для кoмфopтного пpoживaния. Пoлнoстью меблиpoвана мебелью: шкаф, тумба под ТВ, кровать двухспальная , куxонный гарнитур, диван-кресло, барная стойка , высокие стулья . Студия укомплектована всей бытовой техникой: электрическая плита , холодильник, , микроволновка. Сан узел раздельный, ванна, стиральная машина автомат на три изолированные комнаты-студии. Рядом с метро торговые центры фитнес центр, продуктовые магазины в доме и рядом с домом. Шаговая доступность 7 минут до станции метро Некрасовка. Сдается на длительный период . Рассмотрят платежеспособных жильцов, приоритет для девушки, женщины. Оплата 34000 рублей все платежи включены в стоимость и интернет . Депозит 34000 рублей можно разделить на 2 платежа. Комиссия . ID 307387 Документы проверены +7 923 074-33-... Написать пять дней назад 29 апр, 17:01",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,1360.0
377,320152770,ЮВАО,https://www.cian.ru/rent/flat/320152770/?context=4.bAPoBZgbdIQ.JYQXGewlsYVkPs0GBMAExLuyZ-ml2iIb9CEEJ4KOmUD0aBCboyFxu7bOsdJl_Tm7xgCDGbTSuEGlTg&mlSearchSessionGuid=6e3ef361f7256264274875c475b2ee25,1/28,34000,18.0,1,25,,"1/28 Студия, 18 м², 1/25 этаж Только на Циан Некрасовка 11 минут пешком Москва , ЮВАО , р-н Некрасовка , м. Некрасовка , Покровская улица , 17Ак1 34 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 80%, залог 34 000 ₽ Владимиp. .СРОЧHO, СРОЧНO. .Дoм находится не далеко от нeскoльких Станций MЕТРОПОЛИTEНА - НЕКРАСОВКА, ЛУХМАНОВСКАЯ и ЛЮБЕРЦЫ. . Рядом расположены - Круглосуточные Магазины, ЦЕРКОВЬ, Торговый Центр, Отделения Банков, Парк с Фонтанами и зоной для Шашлыков..Сдаётся - Чистая, Очень Уютная, Аккуратная, КВАРТИРА - СТУДИЯ. . Рассматриваем - Приличных/Платёжеспособных/Чистоплотных Состав обсуждается..Звоните, обсудим все Ваши предложения, оперативный показ и заселение - ГАРАНТИРУЕМ. .ВАЖНО..Для гарантии долгосрочных отношений, попросим внести страховой депозит ( залог )..В цену всё включено, кроме электричества..Спасибо. . Риелтор Владимир Положенцев Суперагент +7 936 709-29-... два дня назад 3 май, 13:09",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=2,2026-05-05 11:58:44+00:00,1888.888888888889
375,323118683,ЮВАО,https://www.cian.ru/rent/flat/323118683/?context=4.Y006yC_iFTU.fAOlvcXwoRA7GnRnxR2sZKx9GGv2yhlfAJUsubla33sufQf3IMcRrYKWlOXSA-nuC-DAR--F8_Vx8w&mlSearchSessionGuid=6e3ef361f7256264274875c475b2ee25,1/11,35000,15.0,4,5,,"1/11 Студия, 15 м², 4/5 этаж Окская 14 минут пешком Москва , ЮВАО , р-н Кузьминки , м. Окская , Окская улица , 28К3 35 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 50%, залог 35 000 ₽ Объект актуален! Вам к нам! Только если: вы любите качество, по адекватной цене! Наша квартира для тех ,кто хочет жить каждое мгновение жизни, а не только приезжать ночевать в арендную квартиру. Уютная квартира. Спокойная атмосфера. Отличная локация. Адекватный собственник!! Тут можно жить и работать не выходя из дома!!! Рассмотрим все ваши предложения, учитывая пожелания от собственника. Звоните, уважаемые клиенты и коллеги!!! P.S. Если не отвечаю на звонок, то напишите SMS с названием улицы, когда я освобожусь, то обязательно перезвоню. просмотры по договоренности. Плюс квитанция жкх 3000. Агентство недвижимости ПАРТНЕР Суперагент +7 980 154-12-... Написать шесть дней назад 29 апр, 11:28",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=2,2026-05-05 11:58:44+00:00,2333.3333333333335
354,329374936,ЮВАО,https://www.cian.ru/rent/flat/329374936/?context=4.Avbble_F-1I.Lqn6rhK-xAUXnsURiNV2_YBrUEsUBo5WklquhD_8f3la00GuRi4Fy1YbNuC1oEK9QDs4kPGxVi7lhg&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/8,38000,14.0,1,5,,"1/8 Студия, 14 м², 1/5 этаж Авиамоторная 3 минуты пешком Москва , ЮВАО , р-н Лефортово , м. Авиамоторная , шоссе Энтузиастов , 18 38 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 60%, залог 19 000 ₽ Номер лота - 3535402 ПРОСЬБА ЗВОНИТЬ, А НЕ ПИСАТЬ! Предложение для 1-2х человек! Уютная студия в непосредственной близости от метро. Только что закончен качественный косметический ремонт. Вся необходимая мебель и техника для комфортного проживания. Район с развитой инфраструктурой. В пешей доступности супермаркеты, кинотеатр Москино, сквер, ТЦ ""Город"" и многое другое. Удобная транспортная доступность, в пешей доступности станция метро ""Авиамоторная"" калининской линии и БКЛ, остановки наземного транспорта (автобус, трамвай). Залог половина стоимости! ИНКОМ-Проспект Мира. Агентство недвижимости ИНКОМ-Недвижимость Аренда Суперагент +7 939 024-50-... Написать 5 часов назад сегодня, 09:12",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,2714.285714285714
